Year,Region,PRECTOTCORR_sum,T2M_mean,T2M_MAX_mean,T2M_MIN_mean,ALLSKY_SFC_SW_DWN_mean,RH2M_mean,WS10M_mean,PRECTOTCORR_automne,PRECTOTCORR_hiver,PRECTOTCORR_printemps
1993,Drâa-Tafilalet,152.95,11.36,19.05,5.13,17.65510288065844,48.16,3.61,30.73,64.03,58.19
1993,Ed Dakhla-Oued Ed Dahab,6.95,18.77,20.61,17.23,20.313004115226324,75.42,6.41,0.24000000000000002,3.3,3.41
1993,Fès-Meknès,378.45,13.52,20.89,8.04,15.011893004115235,60.92,3.45,101.16,75.66,201.63
1993,Guelmim-Oued Noun,89.19,16.0,22.69,11.14,18.122139917695474,58.91,5.07,6.470000000000001,58.379999999999995,24.34
1993,Laâyoune-Sakia El Hamra,52.05,18.07,24.56,13.2,18.415226337448548,62.35,5.15,6.61,20.93,24.51
1993,Marrakech-Safi,143.23,13.69,21.53,7.81,16.597407407407406,53.09,3.16,28.12,71.81,43.3
1993,Oriental,393.9,10.6,17.88,5.1,16.3288477366255,65.19,3.9,50.97,129.37,213.56
1993,Rabat-Salé-Kénitra,225.2,15.91,19.79,13.01,15.655761316872425,71.23,3.77,59.31,44.83,121.06
1993,Souss-Massa,151.42,16.73,23.29,11.58,18.106872427983536,55.48,3.56,14.82,97.09,39.51
1993,Tanger-Tétouan-Al Hoceïma,466.56,15.24,17.41,13.44,14.127407407407404,78.28,5.13,112.5,153.2,200.85999999999999
1994,Béni Mellal-Khénifra,487.55,12.34,19.31,7.09,16.24592592592592,63.02,2.48,189.86,236.72,60.97
1994,Casablanca-Settat,408.74,15.23,20.0,11.74,15.804074074074066,76.59,4.05,185.23,176.97,46.54
1994,Drâa-Tafilalet,241.25,11.68,19.35,5.44,17.859835390946508,53.21,3.97,157.4,53.49,30.36
1994,Ed Dakhla-Oued Ed Dahab,6.9,18.26,20.21,16.65,20.5819341563786,77.12,6.9,1.6199999999999999,5.28,0.0
1994,Fès-Meknès,481.97,13.58,20.65,8.38,14.944156378600832,66.84,3.56,165.55,253.07999999999998,63.339999999999996
1994,Guelmim-Oued Noun,139.68,16.18,22.96,11.28,17.82522633744856,62.25,4.86,86.69,36.95,16.04
1994,Laâyoune-Sakia El Hamra,95.59,17.91,24.51,12.94,18.54728395061727,65.63,5.53,31.419999999999998,48.13,16.04
1994,Marrakech-Safi,319.39,13.41,20.87,8.0,16.56962962962963,62.4,3.05,152.11,114.92,52.36
1994,Oriental,372.8,11.16,18.17,5.93,16.506831275720167,68.86,3.97,138.06,153.95,80.79
1994,Rabat-Salé-Kénitra,371.15,15.69,19.46,12.85,15.119465020576136,75.53,4.14,172.61,163.0,35.54
1994,Souss-Massa,218.26,16.82,23.4,11.78,18.005761316872427,59.19,3.42,116.82,52.910000000000004,48.53
1994,Tanger-Tétouan-Al Hoceïma,419.87,15.25,17.55,13.33,14.3920987654321,78.42,5.01,220.07,141.15,58.65
1995,Béni Mellal-Khénifra,327.18,14.28,21.99,8.69,16.99168724279836,52.97,2.39,73.58,54.48,199.12
1995,Casablanca-Settat,238.05,16.61,22.05,12.79,16.392469135802468,73.47,3.76,72.42,67.0,98.63
1995,Drâa-Tafilalet,273.08,12.48,20.02,6.38,17.605308641975302,51.63,3.36,128.72,10.969999999999999,133.39
1995,Ed Dakhla-Oued Ed Dahab,8.15,19.21,21.39,17.43,20.831728395061734,74.35,6.53,0.24000000000000002,7.84,0.07
1995,Fès-Meknès,257.65,15.27,22.86,9.74,15.762098765432086,59.17,3.31,90.45,45.39,121.81
1995,Guelmim-Oued Noun,187.98,17.49,24.68,12.38,18.09975308641975,57.8,4.7,43.78,56.15,88.05
1995,Laâyoune-Sakia El Hamra,86.32,18.97,25.91,13.77,18.656790123456783,61.73,5.38,21.05,5.95,59.32
1995,Marrakech-Safi,308.1,15.3,23.34,9.43,17.080987654320992,53.63,3.01,71.41,53.79,182.9
1995,Oriental,362.05,11.98,19.24,6.41,16.77074074074075,66.02,3.77,101.99,61.99,198.07
1995,Rabat-Salé-Kénitra,177.5,16.98,21.17,13.98,15.924897119341564,73.21,3.66,53.93000000000001,49.17999999999999,74.39
1995,Souss-Massa,170.24,18.73,25.61,13.4,18.214032921810702,52.22,3.35,49.51,33.97,86.76
1995,Tanger-Tétouan-Al Hoceïma,186.01,16.16,18.67,14.12,14.94139917695473,77.42,5.1,86.41,37.440000000000005,62.16
1996,Béni Mellal-Khénifra,755.67,13.21,19.49,8.39,15.414303278688509,65.3,2.67,75.58,435.58,244.51
1996,Casablanca-Settat,646.5,16.81,21.24,13.48,15.165532786885242,74.91,4.48,66.3,403.14,177.06
1996,Drâa-Tafilalet,357.61,11.96,19.18,6.08,17.112581967213114,57.58,3.72,85.46,158.32,113.83
1996,Ed Dakhla-Oued Ed Dahab,46.3,19.93,21.69,18.49,20.508688524590163,77.77,5.91,7.53,25.76,13.01
1996,Fès-Meknès,841.89,14.75,21.08,9.91,13.989836065573774,67.94,3.72,82.49,462.25,297.15
1996,Guelmim-Oued Noun,304.57,17.41,23.63,12.8,17.040368852459018,64.75,4.76,33.33,180.88,90.36
1996,Laâyoune-Sakia El Hamra,134.11,19.62,25.79,14.84,18.26459016393442,65.83,4.99,11.47,75.22,47.42
1996,Marrakech-Safi,404.76,14.79,21.9,9.45,15.888852459016393,61.57,3.33,28.89,265.93,109.94
1996,Oriental,483.23,11.87,18.4,6.86,15.228770491803278,69.18,4.36,50.46,234.13,198.64000000000001
1996,Rabat-Salé-Kénitra,626.91,17.19,20.68,14.52,14.733360655737703,74.44,4.54,57.82,384.36,184.73
1996,Souss-Massa,451.05,17.74,23.43,13.23,16.8907786885246,63.57,3.5,42.36,318.62,90.07
1996,Tanger-Tétouan-Al Hoceïma,833.27,16.36,18.34,14.66,13.246229508196727,79.9,5.42,77.46,555.58,200.23
1997,Béni Mellal-Khénifra,671.95,13.74,20.53,8.62,17.18670781893004,60.95,2.58,46.79,381.12,244.04
1997,Casablanca-Settat,600.23,16.85,21.77,13.34,16.419753086419743,75.59,4.18,58.58,411.76,129.89000000000001
1997,Drâa-Tafilalet,230.37,12.77,20.3,6.53,18.838189300411514,48.9,3.4,6.36,117.36,106.65
1997,Ed Dakhla-Oued Ed Dahab,54.3,19.84,21.91,18.14,20.32008230452676,73.85,6.08,1.06,5.02,48.22
1997,Fès-Meknès,711.74,14.91,21.85,9.69,15.483621399176949,66.32,3.6,58.169999999999995,463.98,189.59
1997,Guelmim-Oued Noun,223.57,17.6,24.39,12.66,18.243333333333343,59.22,4.57,25.419999999999998,134.25,63.9
1997,Laâyoune-Sakia El Hamra,112.2,19.46,26.22,14.36,18.938148148148134,62.65,5.11,12.87,71.95,27.38
1997,Marrakech-Safi,376.2,15.19,22.65,9.72,17.624855967078183,58.05,3.19,50.46,174.04,151.7
1997,Oriental,231.57,12.21,19.64,6.64,16.715514403292172,63.61,3.95,21.74,134.68,75.15
1997,Rabat-Salé-Kénitra,528.62,17.18,21.0,14.34,15.726131687242793,75.32,4.23,53.29,360.02,115.31
1997,Souss-Massa,381.85,18.12,24.26,13.35,18.354197530864198,59.71,3.31,78.19,220.96,82.7
1997,Tanger-Tétouan-Al Hoceïma,704.69,16.06,18.18,14.24,14.538559670781886,81.1,5.44,127.12,509.63,67.94
1998,Béni Mellal-Khénifra,443.03,13.8,20.81,8.43,17.1420987654321,61.58,2.6,108.4,260.09,74.54
1998,Casablanca-Settat,327.65,17.2,22.15,13.6,16.1298353909465,73.78,4.23,111.56,174.22,41.87
1998,Drâa-Tafilalet,143.49,13.1,20.98,6.58,18.967201646090537,49.74,3.62,18.259999999999998,92.71000000000001,32.52
1998,Ed Dakhla-Oued Ed Dahab,53.83,19.9,21.96,18.24,20.15209876543211,76.86,6.23,0.05,21.049999999999997,32.730000000000004
1998,Fès-Meknès,649.9,14.69,21.27,9.73,15.008971193415633,69.88,3.51,214.16,321.82,113.92
1998,Guelmim-Oued Noun,137.41,17.96,24.72,13.06,17.918930041152265,58.89,5.16,20.6,94.39999999999999,22.41
1998,Laâyoune-Sakia El Hamra,50.73,19.98,26.57,14.98,18.368683127572023,61.15,5.2,6.8,28.62,15.31
1998,Marrakech-Safi,197.9,15.38,23.15,9.58,17.97683127572017,55.92,3.38,46.5,121.36999999999999,30.03
1998,Oriental,288.84,12.11,19.08,6.82,16.775185185185187,66.47,4.14,65.02,136.16,87.66
1998,Rabat-Salé-Kénitra,372.09,17.51,21.24,14.74,15.407366255144037,74.6,4.21,116.49,211.13,44.47
1998,Souss-Massa,245.01,18.58,25.11,13.46,18.068148148148154,57.12,3.7,45.43,166.64000000000001,32.94
1998,Tanger-Tétouan-Al Hoceïma,594.62,16.44,18.51,14.63,14.298930041152254,80.0,5.3,219.89000000000001,289.88,84.85
1999,Béni Mellal-Khénifra,332.32,13.65,21.31,7.96,18.000946502057616,51.81,2.57,7.05,251.49,73.78
1999,Casablanca-Settat,285.65,15.94,21.2,12.16,16.995596707818923,73.69,3.9,10.16,227.35,48.14
1999,Drâa-Tafilalet,115.16,12.8,20.88,6.09,19.316913580246922,43.1,3.58,5.7,66.76,42.699999999999996
1999,Ed Dakhla-Oued Ed Dahab,5.3,18.59,20.65,16.93,20.82728395061728,77.02,6.78,1.7999999999999998,3.3399999999999994,0.16
1999,Fès-Meknès,317.65,14.54,22.14,8.81,16.433333333333334,59.2,3.35,22.970000000000002,226.42,68.26
1999,Guelmim-Oued Noun,108.38,17.4,24.6,12.12,18.149300411522642,56.31,4.76,1.7800000000000002,80.3,26.3
1999,Laâyoune-Sakia El Hamra,90.15,18.6,25.61,13.3,19.005761316872423,63.32,5.55,1.96,62.96,25.23
1999,Marrakech-Safi,246.02,14.81,22.91,8.83,18.29855967078189,51.48,3.16,5.609999999999999,172.36,68.05
1999,Oriental,333.93,11.31,18.84,5.59,17.05637860082305,65.27,3.79,62.13,201.04,70.76
